year,month,day,weekday,ws_1,prcp_1,snwd_1,temp_2,temp_1,average,actual,friend
2011,1,1,Sat,4.92,0,0,36,37,45.6,40,40
2011,1,2,Sun,5.37,0,0,37,40,45.7,39,50
2011,1,3,Mon,6.26,0,0,40,39,45.8,42,42
2011,1,4,Tues,5.59,0,0,39,42,45.9,38,59
2011,1,5,Wed,3.8,0.03,0,42,38,46,45,39
2011,1,6,Thurs,4.92,0.12,0,38,45,46.1,49,52
2011,1,7,Fri,8.72,0.17,0,45,49,46.2,48,62
2011,1,8,Sat,10.96,0.37,0,49,48,46.3,40,65
2011,1,9,Sun,5.82,0.03,0,48,40,46.4,39,53
2011,1,10,Mon,5.59,0.02,0,40,39,46.5,38,40
2011,1,11,Tues,8.72,0,0,39,38,46.7,39,59
2011,1,12,Wed,11.18,0.3,0,38,39,46.8,47,47
2011,1,13,Thurs,10.29,0.81,0,39,47,46.9,53,59
2011,1,14,Fri,11.86,0.82,0,47,53,47,54,39
2011,1,15,Sat,13.42,0.29,0,53,54,47.1,52,38
2011,1,16,Sun,8.05,0.45,0,54,52,47.3,55,45
2011,1,17,Mon,17,0.27,0,52,55,47.4,50,49
2011,1,18,Tues,15.88,0.04,0,55,50,47.5,42,43
2011,1,19,Wed,7.83,0.08,0,50,42,47.6,45,60
2011,1,20,Thurs,3.13,0,0,42,45,47.7,44,52
2011,1,21,Fri,6.93,0.05,0,45,44,47.8,49,64
2011,1,22,Sat,11.63,0.51,0,44,49,47.9,49,32
2011,1,23,Sun,4.47,0,0,49,49,48,46,40
2011,1,24,Mon,3.58,0.04,0,49,46,48.1,48,48
2011,1,25,Tues,7.16,0.21,0,46,48,48.2,50,41
2011,1,26,Wed,5.37,0,0,48,50,48.3,54,31
2011,1,27,Thurs,2.01,0,0,50,54,48.4,50,34
2011,1,28,Fri,2.24,0,0,54,50,48.4,52,29
2011,1,29,Sat,9.17,0.14,0,50,52,48.5,48,34
2011,1,30,Sun,7.61,0.24,0,52,48,48.6,44,35
2011,1,31,Mon,10.74,0,0,48,44,48.7,44,53
2011,2,1,Tues,8.28,0,0,44,44,48.8,46,59
2011,2,2,Wed,7.16,0,0,44,46,48.8,51,36
2011,2,3,Thurs,2.91,0,0,46,51,48.9,49,38
2011,2,4,Fri,10.51,0.01,0,51,49,49,50,36
2011,2,5,Sat,14.76,0.07,0,49,50,49.1,47,38
2011,2,6,Sun,3.36,0.08,0,50,47,49.1,50,63
2011,2,7,Mon,12.08,0.25,0,47,50,49.2,48,58
2011,2,8,Tues,6.71,0.05,0,50,48,49.3,46,48
2011,2,9,Wed,5.82,0,0,48,46,49.4,45,66
2011,2,10,Thurs,3.13,0,0,46,45,49.4,47,58
2011,2,11,Fri,2.91,0,0,45,47,49.5,47,69
2011,2,12,Sat,3.8,0,0,47,47,49.6,54,48
2011,2,13,Sun,14.54,0.37,0,47,54,49.7,52,61
